,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants
Class,A,A,A,B,B,B,A,A,A,A,B
Seizures,21337,5075,12812,144228,24319,7290,3720,101,1033,111,12901
<1g,12225,3234,8741,33937,24011,3268,,,,,
1g-500g,8356,1821,3907,109137,187,3864,,,,,
500g-1kg,279,13,50,300,21,66,,,,,
1kg-10kg,434,6,93,658,67,75,,,,,
10kg-100kg,42,1,17,167,17,14,,,,,
>100kg,1,0,4,29,16,3,,,,,
Total kg,2642.36,59.30,1516.25,17945.76,12562.51,1325.94,,,,,
Average kg,123.84,11.68,118.35,124.43,516.57,181.89,,,,,
1-50 doses,,,,,,,3445,86,670,91,10770
51-100 doses,,,,,,,152,3,124,10,661
101-500 doses,,,,,,,97,7,190,7,1184
501-1000 doses,,,,,,,13,1,31,2,199
1001-10000 doses,,,,,,,8,3,18,1,87
10000- doses,,,,,,,5,1,0,0,0
Total doses,,,,,,,171,3,149,6,759
Average doses,,,,,,,14893.43,13879.75,533.81,56.22,58.81
