,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,B,A,A,A,A,B,C
Seizures,15815,4132,7892,110626,5339,5531,484,3018,106,686,173,11612,1057
<1g,10290,2513,5183,29354,978,2810,218,,,,,,
1g-500g,5054,1608,2564,79873,4263,2568,203,,,,,,
500g-1kg,148,4,40,382,25,43,6,,,,,,
1kg-10kg,264,6,81,858,53,72,8,,,,,,
10kg-100kg,44,0,22,125,12,11,2,,,,,,
>100kg,7,0,2,19,7,0,0,,,,,,
Total kg,3386.60,32.53,1113.13,15106.02,7405.14,612.50,55.58,,,,,,
Average kg,214.14,7.87,141.05,136.55,1386.99,110.74,114.84,,,,,,
1-50 doses,,,,,,,,2714,98,466,141,10490,449
51-100 doses,,,,,,,,118,1,103,16,515,116
101-500 doses,,,,,,,,98,5,102,14,529,146
501-1000 doses,,,,,,,,15,2,8,0,46,42
1001-10000 doses,,,,,,,,29,0,8,1,31,88
10000- doses,,,,,,,,7,0,0,0,1,27
Total doses,,,,,,,,1125.00,3.48,59.64,14.07,366840.95,16000.27
Average doses,,,,,,,,372.76,32.83,86.94,81.32,31.59,15137.43
