,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,B,A,A,A,A,B,C
Seizures,14589,5376,7921,85417,5936,3715,503,3123,135,493,186,8495,1037
<1g,8909,3149,4862,18803,999,1775,279,,,,,,
1g-500g,5295,2218,2954,65204,4844,1805,217,,,,,,
500g-1kg,92,6,31,404,31,25,1,,,,,,
1kg-10kg,220,4,57,825,38,36,6,,,,,,
10kg-100kg,52,0,15,145,16,10,1,,,,,,
>100kg,7,0,2,18,7,4,0,,,,,,
Total kg,5515.91,39.02,782.57,11861.24,5837.54,1242.02,57.94,,,,,,
Average kg,378.09,7.26,98.80,138.86,983.41,334.32,115.19,,,,,,
1-50 doses,,,,,,,,2566,127,334,143,7423,420
51-100 doses,,,,,,,,218,5,64,23,441,96
101-500 doses,,,,,,,,185,1,74,18,554,194
501-1000 doses,,,,,,,,24,1,13,1,56,49
1001-10000 doses,,,,,,,,17,0,8,0,17,83
10000- doses,,,,,,,,5,0,0,0,2,15
Total doses,,,,,,,,498.33,1.77,56.27,7.96,318971.00,5180.29
Average doses,,,,,,,,159.57,13.14,114.15,42.82,37.55,4995.46
