Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
South Yorkshire,7.77936,1.03026,2.42331,13.65145,0.00600,1.08427,0.14400,221.15313,5.62612,19089.00000,12.95845,0.11300,3.27200,3.66000,0.00100,1.51870,3.00800
West Yorkshire,0.33122,0.34697,0.34500,0.16735,0.00000,0.16300,0.00000,29.93613,0.58761,8960.00000,0.13427,0.00000,0.15500,0.17600,0.00000,0.01132,0.00000
Derbyshire,9.60959,0.59441,0.10371,0.82766,0.00600,4.40101,1.16700,68.47781,255.07294,10891.00000,10.62840,0.00000,6.05420,0.84100,0.00000,2.36593,0.00100
Leicestershire,7.44115,0.34214,0.74315,5.02553,0.00000,3.58000,0.00100,28.80863,0.45600,17010.00000,0.23634,0.00000,0.47180,0.20000,0.00000,0.20390,0.00100
Lincolnshire,2.62344,0.02893,0.08974,0.33105,0.00000,0.26400,0.00400,18.59558,0.15935,343.00000,2.24150,0.00000,0.82305,10.20900,0.00000,0.50954,0.00000
Northamptonshire,0.73366,0.10392,0.20179,1.18948,0.00000,1.51690,2.42240,47.95793,0.58163,10651.00000,1.09854,0.00000,4.15800,0.71254,0.00000,0.27969,0.01600
Nottinghamshire,8.46559,0.64558,0.64030,1.27783,0.00000,0.00000,0.19000,523.44571,3.71743,21903.00000,22.39082,0.00000,3.21420,1.50400,0.00020,0.31740,0.00000
Staffordshire,13.57405,0.55606,0.47412,21.97772,0.00000,0.15000,0.00000,58.24432,2.93029,13952.00000,2.43525,0.00000,12.81350,6.51600,0.01000,0.01801,0.00000
Warwickshire,3.44456,0.05755,0.33390,0.20689,0.00000,0.00000,0.00000,9.58795,120.07548,3841.00000,0.13184,0.00000,0.00000,0.02300,0.00000,0.01371,0.00000
West Mercia,0.36655,0.83095,0.18887,0.48617,0.00000,4.56700,0.00000,249.41127,2.68742,1709.00000,0.60724,0.00000,0.76402,68.85400,0.00400,0.15497,0.01800
West Midlands,1.27790,0.53796,0.81400,1.18004,0.00000,3.93200,0.07100,83.26885,2.45646,61177.00000,0.18063,0.00200,0.19100,15.45000,0.00000,0.00098,0.52300
Bedfordshire,1.39947,1.05154,0.07241,0.19051,0.00000,0.17500,0.00000,49.01544,0.12091,8054.00000,0.02618,0.00100,0.03400,0.18020,0.00000,0.89732,0.00200
Cambridgeshire,0.91157,0.21915,0.09268,5.58184,0.00300,0.26749,0.00080,19.75191,75.65298,4903.00000,0.93443,0.00000,0.00400,0.17879,0.00000,1.02426,0.02500
Essex,30.13879,0.12239,0.53353,0.15265,0.00100,0.09000,0.00000,66.48044,0.74102,15489.00000,4.55242,0.00000,0.00200,1.59025,0.00000,0.01768,0.00000
Hertfordshire,2.61737,0.31547,15.21694,0.14365,0.00449,0.09000,0.00000,85.95189,2.25921,8472.00000,37.23722,0.00000,0.00000,1.43300,0.00000,0.00037,0.00000
Norfolk,0.92295,0.04149,0.41095,0.17316,0.00000,0.90700,0.07500,83.22969,3.19785,5634.00000,2.33558,0.00000,0.35200,0.31489,0.00000,0.19780,0.00000
Suffolk,0.30325,0.12830,0.28613,0.19945,0.00000,0.67200,0.01000,8.17748,1.98366,4060.00000,0.69373,0.00000,0.00000,0.03500,0.00000,0.04727,0.00000
"London, City of",0.36884,0.00000,0.23166,0.00114,0.00000,0.02400,0.00113,3.28842,0.11351,4.00000,0.00314,0.00000,0.17700,0.00508,0.00000,0.00954,0.00000
Metropolitan Police,296.83323,18.62619,18.06036,64.47914,0.10200,38.03300,0.01370,735.93275,3262.36800,53978.00000,78.94554,0.00000,5.65420,31.50500,0.02474,1.64656,0.00100
Hampshire,,,,,,,,,,,,,,,,,
Kent,1.30016,0.18016,51.52769,0.43655,0.01500,0.00100,0.00000,35.21478,21.85414,10264.00000,4.13152,0.00000,0.49150,0.19500,0.00000,0.00994,0.00000
Surrey,29.48477,0.17029,118.21439,0.18430,0.00020,0.58919,0.00000,17.16432,191.07233,2646.00000,0.62004,0.00000,0.39420,44.31204,0.00000,0.94052,0.00900
Sussex,16.97957,2.00660,9.36358,1.77587,2.59700,4.82320,1.80900,118.36658,11.83626,31621.00000,4.85514,0.02400,0.73590,77.74480,0.15760,1.07068,0.15000
Thames Valley,8.85907,0.45645,1.20639,21.75677,0.00100,2.70585,0.02700,157.79072,7.97127,12358.00000,1.65642,0.00000,0.17900,17.55700,0.00000,1.88625,0.02200
Avon and Somerset,7.69388,1.22247,0.82769,16.25737,0.07920,4.32401,0.03367,165.43113,41.44363,21963.00000,5.35981,0.00100,2.44782,44.05949,0.00000,6.10753,0.01200
Devon and Cornwall,4.11561,0.32821,1.30876,2.74823,0.00100,16.56700,0.03900,71.83489,6.41636,6961.00000,73.01674,0.00000,0.85100,15.38200,0.00000,1.69531,0.09000
Dorset,3.68684,0.20076,0.11900,7.01197,0.00200,1.69600,0.14100,49.07902,47.15125,3251.00000,16.84967,0.00000,1.25400,2.58501,0.00820,0.11076,0.01820
Gloucestershire,9.45990,0.38480,0.38450,0.40487,0.00000,0.01100,0.00200,19.84007,0.32126,3264.00000,1.11870,0.00100,3.69300,0.93300,0.00000,0.28482,0.00500
Wiltshire,7.95973,0.55009,0.38820,0.44861,0.00000,0.32150,0.10100,29.87581,3.09842,9142.00000,0.83688,0.04000,0.23110,0.58300,0.00000,0.03836,0.00400
British Transport Police,1.11515,0.01235,0.34736,3.54065,0.40700,0.03000,0.00100,21.84349,0.82166,502.00000,0.14777,0.00000,0.00000,0.90000,0.01140,0.16453,0.00000
Border Force,2415.35100,6.97369,297.10922,445.07591,20.04600,,0.02317,8488.24955,7165.06405,5.00000,816.37907,,1387.58005,,0.00000,221.67574,
