,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,C,A,A,A,A,B,C
Seizures,16075,4477,8266,133203,8161,5748,1401,3020,63,813,124,14510,836
<1g,10049,2800,5381,35595,1455,2548,621,,,,,,
1g-500g,5545,1669,2716,96314,6564,3023,658,,,,,,
500g-1kg,148,4,44,378,40,54,20,,,,,,
1kg-10kg,277,3,106,756,66,74,67,,,,,,
10kg-100kg,41,1,18,147,28,19,2,,,,,,
>100kg,5,0,0,11,8,4,0,,,,,,
Total kg,3031.53,41.06,750.04,12267.08,11320.40,1374.69,243.86,,,,,,
Average kg,188.59,9.17,90.74,92.09,1387.13,239.16,174.06,,,,,,
1-50 doses,,,,,,,,2754,56,561,98,12844,440
51-100 doses,,,,,,,,116,2,113,11,741,99
101-500 doses,,,,,,,,84,1,117,8,798,128
501-1000 doses,,,,,,,,13,0,15,2,90,32
1001-10000 doses,,,,,,,,14,2,6,1,37,47
10000- doses,,,,,,,,6,1,1,0,0,12
Total doses,,,,,,,,433.51,23.35,101.46,7.30,507401.00,1457.49
Average doses,,,,,,,,143.55,370.61,124.80,58.85,34.97,1743.41
